 "course" , "description" ,
 "http://focu.io/schema#COMP_474/" , "Rule-based expert systems, blackboard architecture, and agent-based. Knowledge acquisition and representation. Uncertainty and conflict resolution. Reasoning and explanation. Design of intelligent systems. Project. Lectures: three hours per week. Laboratory: two hours per week.
Prerequisite: COMP 352 or COEN 352.




" ,
